rating,audience_score,title,credit,box_office,year
80,91,Black Widow,"Natasha Romanoff/Black Widow (Character),Executive Producer",174.4,2021
80,94,Jojo Rabbit,Rosie (Character),33.4,2019
94,90,Avengers: Endgame,Natasha Romanoff/Black Widow (Character),858.4,2019
90,87,Isle of Dogs,Nutmeg (Voice),31.9,2018
85,91,Avengers: Infinity War,Natasha Romanoff/Black Widow (Character),678.8,2018
43,51,Ghost in the Shell,Major (Character),40.5,2017
45,29,Rough Night,Jess (Character),22.1,2017
94,86,The Jungle Book,Kaa (Voice),364,2016
90,89,Captain America: Civil War,Natasha Romanoff/Black Widow (Character),408.1,2016
85,44,"Hail, Caesar!",DeeAnna Moran (Character),30,2016
72,72,Sing,Ash (Voice),270.4,2016
76,83,Avengers: Age of Ultron,Natasha Romanoff/The Black Widow (Character),459,2015
90,92,Captain America: The Winter Soldier,Natasha Romanoff/Black Widow (Character),259.7,2014
67,47,Lucy,Lucy (Character),126.5,2014
87,85,Chef,Molly (Character),31.2,2014
80,58,Don Jon,Barbara (Character),24.5,2013
94,82,Her,Samantha (Voice),25.6,2013
84,55,Under the Skin,The Female (Character),2.6,2013
60,60,Hitchcock,Janet Leigh (Character),6,2012
65,71,We Bought a Zoo,Kelly Foster (Character),75.6,2011
72,71,Iron Man 2,Natalie Rushman/Natasha Romanoff (Character),312.1,2010
81,74,Vicky Cristina Barcelona,Cristina (Character),23.2,2008
43,62,The Other Boleyn Girl,Mary Boleyn (Character),26.8,2008
14,25,The Spirit,Silken Floss (Character),19.8,2008
34,51,The Nanny Diaries,Annie Braddock (Character),25.9,2007
76,92,The Prestige,Olivia (Character),53.1,2006
41,55,Scoop,Sondra Pransky (Character),10.5,2006
32,27,The Black Dahlia,Kay Lake (Character),22.5,2006
77,81,Match Point,Nola Rice (Character),23.1,2005
16,44,The Perfect Score,Francesca (Character),10.4,2004
83,54,In Good Company,Alex Foreman (Character),45.5,2004
68,78,The SpongeBob SquarePants Movie,Mindy (Voice),85.4,2004
73,68,Girl With a Pearl Earring,Griet (Character),11.6,2003
95,85,Lost in Translation,Charlotte (Character),44.6,2003
47,33,Eight Legged Freaks,Ashley Parker (Character),17.3,2002
93,84,Ghost World,Rebecca (Character),6.2,2001
81,85,The Man Who Wasn't There,Birdy Abundas (Character),7.5,2001
74,72,The Horse Whisperer,Grace MacLean (Character),75.4,1998
29,27,Home Alone 3,Molly Pruitt (Character),30.7,1997
26,46,Just Cause,Katie Armstrong (Character),35.7,1995
